Scene,Video Prompt
1,"[[CLOSE UP SHOT], A young man (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, sitting in a dimly lit modern apartment, his face illuminated by the harsh blue light of a smartphone screen. He is frowning slightly, a clear expression of worry and fatigue. His eyes dart nervously across the screen. A gentle, subtle camera push-in emphasizes his anxious state. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
2,"[[MEDIUM SHOT], A serene Vietnamese nun (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, in traditional robes, seated gracefully by a large, sunlit temple window. Her face holds a gentle smile and her eyes convey deep compassion as she gazes outwards. Soft light bathes the scene, highlighting peaceful dust motes in the air. {vkt_asmr_zen, Ethereal light, Lotus & Gold Leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
3,"[[WIDE SHOT], An elderly Vietnamese monk (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, in saffron robes, sits in deep meditation beneath a majestic Bodhi tree. The rising sun casts a golden glow, creating long, peaceful shadows. His posture is upright, hands in Dhyana mudra, radiating calm. {vkt_asmr_zen, Ethereal light, ancient_stone_temple}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
4,"[[MEDIUM SHOT], Gentle ocean waves roll softly onto a sandy beach, reflecting the warm, tranquil colors of a sunset. The water is clear, and the sand is fine. A single, small, smooth pebble is briefly visible as the wave recedes. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
5,"[[MEDIUM SHOT], A young man (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, sits by a rain-streaked window, his chin resting on his hand. His gaze is distant and melancholic, reflecting a deep sense of introspection and perhaps sadness. Raindrops gently stream down the windowpane, adding to the somber mood. {vkt_asmr_zen, interior_window_light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
6,"[[CLOSE UP SHOT], A young woman (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, sits huddled on a soft sofa, her hands gently clasping her head. Her expression is one of deep sadness and exhaustion, as if carrying a heavy burden. Soft, indirect light illuminates her. {vkt_asmr_zen, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
7,"[[WIDE SHOT], A dimly lit, mystical forest path (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, winding deep into ancient woods. Soft, ethereal mist hangs in the air, partially obscuring the dense trees. The path is barely visible, suggesting a journey into the unknown. {vkt_asmr_zen, deep_forest_ambience}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
8,"[[CLOSE UP SHOT], A delicate hand (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, gently touches a young, unfurling lotus leaf on a calm, reflective pond surface. The water is pristine, and the leaf is vibrant green. Soft ripples spread outwards from the touch. {vkt_asmr_zen, Lotus & Gold Leaf, Ethereal light}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
9,"[[CLOSE UP SHOT], An elderly Vietnamese monk (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, sits in deep meditation, his eyes gently closed. His face is illuminated by a soft, golden light, radiating profound peace and tranquility. The background is softly blurred, emphasizing his serene presence. {vkt_asmr_zen, aura_of_enlightenment, Lotus & Gold Leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
10,"[[MEDIUM SHOT], An ancient, weathered wooden door (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands, in a temple setting, slowly creaks open. Beyond it, a vibrant, serene Zen garden with blooming flowers and lush greenery is revealed, bathed in soft sunlight. {vkt_asmr_zen, ancient_stone_temple, deep_forest_ambience}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars."
